image_file,audio_file,final_prompt
AluminumMesh\14.jpg,AluminumMesh\AluminumMesh_finger_fast.wav,The sound of a finger rubbing on AluminumMesh at a fast speed.
AluminumMesh\12.jpg,AluminumMesh\AluminumMesh_finger_middle.wav,The sound of a finger rubbing on AluminumMesh at a medium speed.
AluminumMesh\13.jpg,AluminumMesh\AluminumMesh_finger_slow.wav,The sound of a finger rubbing on AluminumMesh at a slow speed.
AluminumMesh\8.jpg,AluminumMesh\AluminumMesh_nail_fast.wav,The sound of a nail rubbing on AluminumMesh at a fast speed.
AluminumMesh\14.jpg,AluminumMesh\AluminumMesh_nail_middle.wav,The sound of a nail rubbing on AluminumMesh at a medium speed.
AluminumMesh\14.jpg,AluminumMesh\AluminumMesh_nail_slow.wav,The sound of a nail rubbing on AluminumMesh at a slow speed.
AluminumMesh\1.jpg,AluminumMesh\AluminumMesh_stick_fast.wav,The sound of a plastic stick rubbing on AluminumMesh at a fast speed.
AluminumMesh\17.jpg,AluminumMesh\AluminumMesh_stick_middle.wav,The sound of a plastic stick rubbing on AluminumMesh at a medium speed.
AluminumMesh\10.jpg,AluminumMesh\AluminumMesh_stick_slow.wav,The sound of a plastic stick rubbing on AluminumMesh at a slow speed.
AluminumPunching1\6.jpg,AluminumPunching1\AluminumPunching1_finger_fast.wav,The sound of a finger rubbing on AluminumPunching at a fast speed.
AluminumPunching1\3.jpg,AluminumPunching1\AluminumPunching1_finger_middle.wav,The sound of a finger rubbing on AluminumPunching at a medium speed.
AluminumPunching1\5.jpg,AluminumPunching1\AluminumPunching1_finger_slow.wav,The sound of a finger rubbing on AluminumPunching at a slow speed.
AluminumPunching1\13.jpg,AluminumPunching1\AluminumPunching1_nail_fast.wav,The sound of a nail rubbing on AluminumPunching at a fast speed.
AluminumPunching1\4.jpg,AluminumPunching1\AluminumPunching1_nail_middle.wav,The sound of a nail rubbing on AluminumPunching at a medium speed.
AluminumPunching1\9.jpg,AluminumPunching1\AluminumPunching1_nail_slow.wav,The sound of a nail rubbing on AluminumPunching at a slow speed.
AluminumPunching1\10.jpg,AluminumPunching1\AluminumPunching1_stick_fast.wav,The sound of a plastic stick rubbing on AluminumPunching at a fast speed.
AluminumPunching1\2.jpg,AluminumPunching1\AluminumPunching1_stick_middle.wav,The sound of a plastic stick rubbing on AluminumPunching at a medium speed.
AluminumPunching1\4.jpg,AluminumPunching1\AluminumPunching1_stick_slow.wav,The sound of a plastic stick rubbing on AluminumPunching at a slow speed.
AluminumPunching2\2.jpg,AluminumPunching2\AluminumPunching2_finger_fast.wav,The sound of a finger rubbing on AluminumPunching at a fast speed.
AluminumPunching2\11.jpg,AluminumPunching2\AluminumPunching2_finger_middle.wav,The sound of a finger rubbing on AluminumPunching at a medium speed.
AluminumPunching2\1.jpg,AluminumPunching2\AluminumPunching2_finger_slow.wav,The sound of a finger rubbing on AluminumPunching at a slow speed.
AluminumPunching2\18.jpg,AluminumPunching2\AluminumPunching2_nail_fast.wav,The sound of a nail rubbing on AluminumPunching at a fast speed.
AluminumPunching2\1.jpg,AluminumPunching2\AluminumPunching2_nail_middle.wav,The sound of a nail rubbing on AluminumPunching at a medium speed.
AluminumPunching2\3.jpg,AluminumPunching2\AluminumPunching2_nail_slow.wav,The sound of a nail rubbing on AluminumPunching at a slow speed.
AluminumPunching2\10.jpg,AluminumPunching2\AluminumPunching2_stick_fast.wav,The sound of a plastic stick rubbing on AluminumPunching at a fast speed.
AluminumPunching2\17.jpg,AluminumPunching2\AluminumPunching2_stick_middle.wav,The sound of a plastic stick rubbing on AluminumPunching at a medium speed.
AluminumPunching2\4.jpg,AluminumPunching2\AluminumPunching2_stick_slow.wav,The sound of a plastic stick rubbing on AluminumPunching at a slow speed.
AluminumPunching3\6.jpg,AluminumPunching3\AluminumPunching3_finger_fast.wav,The sound of a finger rubbing on AluminumPunching at a fast speed.
AluminumPunching3\18.jpg,AluminumPunching3\AluminumPunching3_finger_middle.wav,The sound of a finger rubbing on AluminumPunching at a medium speed.
AluminumPunching3\7.jpg,AluminumPunching3\AluminumPunching3_finger_slow.wav,The sound of a finger rubbing on AluminumPunching at a slow speed.
AluminumPunching3\15.jpg,AluminumPunching3\AluminumPunching3_nail_fast.wav,The sound of a nail rubbing on AluminumPunching at a fast speed.
AluminumPunching3\7.jpg,AluminumPunching3\AluminumPunching3_nail_middle.wav,The sound of a nail rubbing on AluminumPunching at a medium speed.
AluminumPunching3\10.jpg,AluminumPunching3\AluminumPunching3_nail_slow.wav,The sound of a nail rubbing on AluminumPunching at a slow speed.
AluminumPunching3\15.jpg,AluminumPunching3\AluminumPunching3_stick_fast.wav,The sound of a plastic stick rubbing on AluminumPunching at a fast speed.
AluminumPunching3\16.jpg,AluminumPunching3\AluminumPunching3_stick_middle.wav,The sound of a plastic stick rubbing on AluminumPunching at a medium speed.
AluminumPunching3\20.jpg,AluminumPunching3\AluminumPunching3_stick_slow.wav,The sound of a plastic stick rubbing on AluminumPunching at a slow speed.
ArtificialGrass1\5.jpg,ArtificialGrass1\ArtificialGrass1_finger_fast.wav,The sound of a finger rubbing on ArtificialGrass at a fast speed.
ArtificialGrass1\7.jpg,ArtificialGrass1\ArtificialGrass1_finger_middle.wav,The sound of a finger rubbing on ArtificialGrass at a medium speed.
ArtificialGrass1\6.jpg,ArtificialGrass1\ArtificialGrass1_finger_slow.wav,The sound of a finger rubbing on ArtificialGrass at a slow speed.
ArtificialGrass1\5.jpg,ArtificialGrass1\ArtificialGrass1_nail_fast.wav,The sound of a nail rubbing on ArtificialGrass at a fast speed.
ArtificialGrass1\4.jpg,ArtificialGrass1\ArtificialGrass1_nail_middle.wav,The sound of a nail rubbing on ArtificialGrass at a medium speed.
ArtificialGrass1\15.jpg,ArtificialGrass1\ArtificialGrass1_nail_slow.wav,The sound of a nail rubbing on ArtificialGrass at a slow speed.
ArtificialGrass1\11.jpg,ArtificialGrass1\ArtificialGrass1_stick_fast.wav,The sound of a plastic stick rubbing on ArtificialGrass at a fast speed.
ArtificialGrass1\7.jpg,ArtificialGrass1\ArtificialGrass1_stick_middle.wav,The sound of a plastic stick rubbing on ArtificialGrass at a medium speed.
ArtificialGrass1\3.jpg,ArtificialGrass1\ArtificialGrass1_stick_slow.wav,The sound of a plastic stick rubbing on ArtificialGrass at a slow speed.
ArtificialGrass2\2.jpg,ArtificialGrass2\ArtificialGrass2_finger_fast.wav,The sound of a finger rubbing on ArtificialGrass at a fast speed.
ArtificialGrass2\18.jpg,ArtificialGrass2\ArtificialGrass2_finger_middle.wav,The sound of a finger rubbing on ArtificialGrass at a medium speed.
ArtificialGrass2\4.jpg,ArtificialGrass2\ArtificialGrass2_finger_slow.wav,The sound of a finger rubbing on ArtificialGrass at a slow speed.
ArtificialGrass2\1.jpg,ArtificialGrass2\ArtificialGrass2_nail_fast.wav,The sound of a nail rubbing on ArtificialGrass at a fast speed.
ArtificialGrass2\15.jpg,ArtificialGrass2\ArtificialGrass2_nail_middle.wav,The sound of a nail rubbing on ArtificialGrass at a medium speed.
ArtificialGrass2\19.jpg,ArtificialGrass2\ArtificialGrass2_nail_slow.wav,The sound of a nail rubbing on ArtificialGrass at a slow speed.
ArtificialGrass2\8.jpg,ArtificialGrass2\ArtificialGrass2_stick_fast.wav,The sound of a plastic stick rubbing on ArtificialGrass at a fast speed.
ArtificialGrass2\17.jpg,ArtificialGrass2\ArtificialGrass2_stick_middle.wav,The sound of a plastic stick rubbing on ArtificialGrass at a medium speed.
ArtificialGrass2\15.jpg,ArtificialGrass2\ArtificialGrass2_stick_slow.wav,The sound of a plastic stick rubbing on ArtificialGrass at a slow speed.
Basket\7.jpg,Basket\Basket_finger_fast.wav,The sound of a finger rubbing on Basket at a fast speed.
Basket\12.jpg,Basket\Basket_finger_middle.wav,The sound of a finger rubbing on Basket at a medium speed.
Basket\15.jpg,Basket\Basket_finger_slow.wav,The sound of a finger rubbing on Basket at a slow speed.
Basket\12.jpg,Basket\Basket_nail_fast.wav,The sound of a nail rubbing on Basket at a fast speed.
Basket\16.jpg,Basket\Basket_nail_middle.wav,The sound of a nail rubbing on Basket at a medium speed.
Basket\17.jpg,Basket\Basket_nail_slow.wav,The sound of a nail rubbing on Basket at a slow speed.
Basket\17.jpg,Basket\Basket_stick_fast.wav,The sound of a plastic stick rubbing on Basket at a fast speed.
Basket\11.jpg,Basket\Basket_stick_middle.wav,The sound of a plastic stick rubbing on Basket at a medium speed.
Basket\13.jpg,Basket\Basket_stick_slow.wav,The sound of a plastic stick rubbing on Basket at a slow speed.
Brush\2.jpg,Brush\Brush_finger_fast.wav,The sound of a finger rubbing on Brush at a fast speed.
Brush\5.jpg,Brush\Brush_finger_middle.wav,The sound of a finger rubbing on Brush at a medium speed.
Brush\13.jpg,Brush\Brush_finger_slow.wav,The sound of a finger rubbing on Brush at a slow speed.
Brush\14.jpg,Brush\Brush_nail_fast.wav,The sound of a nail rubbing on Brush at a fast speed.
Brush\2.jpg,Brush\Brush_nail_middle.wav,The sound of a nail rubbing on Brush at a medium speed.
Brush\3.jpg,Brush\Brush_nail_slow.wav,The sound of a nail rubbing on Brush at a slow speed.
Brush\11.jpg,Brush\Brush_stick_fast.wav,The sound of a plastic stick rubbing on Brush at a fast speed.
Brush\4.jpg,Brush\Brush_stick_middle.wav,The sound of a plastic stick rubbing on Brush at a medium speed.
Brush\16.jpg,Brush\Brush_stick_slow.wav,The sound of a plastic stick rubbing on Brush at a slow speed.
Carpet\10.jpg,Carpet\Carpet_finger_fast.wav,The sound of a finger rubbing on Carpet at a fast speed.
Carpet\5.jpg,Carpet\Carpet_finger_middle.wav,The sound of a finger rubbing on Carpet at a medium speed.
Carpet\4.jpg,Carpet\Carpet_finger_slow.wav,The sound of a finger rubbing on Carpet at a slow speed.
Carpet\19.jpg,Carpet\Carpet_nail_fast.wav,The sound of a nail rubbing on Carpet at a fast speed.
Carpet\7.jpg,Carpet\Carpet_nail_middle.wav,The sound of a nail rubbing on Carpet at a medium speed.
Carpet\7.jpg,Carpet\Carpet_nail_slow.wav,The sound of a nail rubbing on Carpet at a slow speed.
Carpet\2.jpg,Carpet\Carpet_stick_fast.wav,The sound of a plastic stick rubbing on Carpet at a fast speed.
Carpet\1.jpg,Carpet\Carpet_stick_middle.wav,The sound of a plastic stick rubbing on Carpet at a medium speed.
Carpet\17.jpg,Carpet\Carpet_stick_slow.wav,The sound of a plastic stick rubbing on Carpet at a slow speed.
Coin\18.jpg,Coin\Coin_finger_fast.wav,The sound of a finger rubbing on Coin at a fast speed.
Coin\3.jpg,Coin\Coin_finger_middle.wav,The sound of a finger rubbing on Coin at a medium speed.
Coin\2.jpg,Coin\Coin_finger_slow.wav,The sound of a finger rubbing on Coin at a slow speed.
Coin\12.jpg,Coin\Coin_nail_fast.wav,The sound of a nail rubbing on Coin at a fast speed.
Coin\8.jpg,Coin\Coin_nail_middle.wav,The sound of a nail rubbing on Coin at a medium speed.
Coin\18.jpg,Coin\Coin_nail_slow.wav,The sound of a nail rubbing on Coin at a slow speed.
Coin\15.jpg,Coin\Coin_stick_fast.wav,The sound of a plastic stick rubbing on Coin at a fast speed.
Coin\5.jpg,Coin\Coin_stick_middle.wav,The sound of a plastic stick rubbing on Coin at a medium speed.
Coin\4.jpg,Coin\Coin_stick_slow.wav,The sound of a plastic stick rubbing on Coin at a slow speed.
Concrete\6.jpg,Concrete\Concrete_finger_fast.wav,The sound of a finger rubbing on Concrete at a fast speed.
Concrete\19.jpg,Concrete\Concrete_finger_middle.wav,The sound of a finger rubbing on Concrete at a medium speed.
Concrete\9.jpg,Concrete\Concrete_finger_slow.wav,The sound of a finger rubbing on Concrete at a slow speed.
Concrete\4.jpg,Concrete\Concrete_nail_fast.wav,The sound of a nail rubbing on Concrete at a fast speed.
Concrete\11.jpg,Concrete\Concrete_nail_middle.wav,The sound of a nail rubbing on Concrete at a medium speed.
Concrete\15.jpg,Concrete\Concrete_nail_slow.wav,The sound of a nail rubbing on Concrete at a slow speed.
Concrete\9.jpg,Concrete\Concrete_stick_fast.wav,The sound of a plastic stick rubbing on Concrete at a fast speed.
Concrete\4.jpg,Concrete\Concrete_stick_middle.wav,The sound of a plastic stick rubbing on Concrete at a medium speed.
Concrete\16.jpg,Concrete\Concrete_stick_slow.wav,The sound of a plastic stick rubbing on Concrete at a slow speed.
CopperMesh1\8.jpg,CopperMesh1\CopperMesh1_finger_fast.wav,The sound of a finger rubbing on CopperMesh at a fast speed.
CopperMesh1\10.jpg,CopperMesh1\CopperMesh1_finger_middle.wav,The sound of a finger rubbing on CopperMesh at a medium speed.
CopperMesh1\8.jpg,CopperMesh1\CopperMesh1_finger_slow.wav,The sound of a finger rubbing on CopperMesh at a slow speed.
CopperMesh1\13.jpg,CopperMesh1\CopperMesh1_nail_fast.wav,The sound of a nail rubbing on CopperMesh at a fast speed.
CopperMesh1\8.jpg,CopperMesh1\CopperMesh1_nail_middle.wav,The sound of a nail rubbing on CopperMesh at a medium speed.
CopperMesh1\18.jpg,CopperMesh1\CopperMesh1_nail_slow.wav,The sound of a nail rubbing on CopperMesh at a slow speed.
CopperMesh1\12.jpg,CopperMesh1\CopperMesh1_stick_fast.wav,The sound of a plastic stick rubbing on CopperMesh at a fast speed.
CopperMesh1\1.jpg,CopperMesh1\CopperMesh1_stick_middle.wav,The sound of a plastic stick rubbing on CopperMesh at a medium speed.
CopperMesh1\16.jpg,CopperMesh1\CopperMesh1_stick_slow.wav,The sound of a plastic stick rubbing on CopperMesh at a slow speed.
CopperMesh2\11.jpg,CopperMesh2\CopperMesh2_finger_fast.wav,The sound of a finger rubbing on CopperMesh at a fast speed.
CopperMesh2\13.jpg,CopperMesh2\CopperMesh2_finger_middle.wav,The sound of a finger rubbing on CopperMesh at a medium speed.
CopperMesh2\12.jpg,CopperMesh2\CopperMesh2_finger_slow.wav,The sound of a finger rubbing on CopperMesh at a slow speed.
CopperMesh2\7.jpg,CopperMesh2\CopperMesh2_nail_fast.wav,The sound of a nail rubbing on CopperMesh at a fast speed.
CopperMesh2\9.jpg,CopperMesh2\CopperMesh2_nail_middle.wav,The sound of a nail rubbing on CopperMesh at a medium speed.
CopperMesh2\11.jpg,CopperMesh2\CopperMesh2_nail_slow.wav,The sound of a nail rubbing on CopperMesh at a slow speed.
CopperMesh2\11.jpg,CopperMesh2\CopperMesh2_stick_fast.wav,The sound of a plastic stick rubbing on CopperMesh at a fast speed.
CopperMesh2\15.jpg,CopperMesh2\CopperMesh2_stick_middle.wav,The sound of a plastic stick rubbing on CopperMesh at a medium speed.
CopperMesh2\15.jpg,CopperMesh2\CopperMesh2_stick_slow.wav,The sound of a plastic stick rubbing on CopperMesh at a slow speed.
Curtain\17.jpg,Curtain\Curtain_finger_fast.wav,The sound of a finger rubbing on Curtain at a fast speed.
Curtain\1.jpg,Curtain\Curtain_finger_middle.wav,The sound of a finger rubbing on Curtain at a medium speed.
Curtain\3.jpg,Curtain\Curtain_finger_slow.wav,The sound of a finger rubbing on Curtain at a slow speed.
Curtain\19.jpg,Curtain\Curtain_nail_fast.wav,The sound of a nail rubbing on Curtain at a fast speed.
Curtain\19.jpg,Curtain\Curtain_nail_middle.wav,The sound of a nail rubbing on Curtain at a medium speed.
Curtain\19.jpg,Curtain\Curtain_nail_slow.wav,The sound of a nail rubbing on Curtain at a slow speed.
Curtain\9.jpg,Curtain\Curtain_stick_fast.wav,The sound of a plastic stick rubbing on Curtain at a fast speed.
Curtain\9.jpg,Curtain\Curtain_stick_middle.wav,The sound of a plastic stick rubbing on Curtain at a medium speed.
Curtain\13.jpg,Curtain\Curtain_stick_slow.wav,The sound of a plastic stick rubbing on Curtain at a slow speed.
Cushion\17.jpg,Cushion\Cushion_finger_fast.wav,The sound of a finger rubbing on Cushion at a fast speed.
Cushion\1.jpg,Cushion\Cushion_finger_middle.wav,The sound of a finger rubbing on Cushion at a medium speed.
Cushion\16.jpg,Cushion\Cushion_finger_slow.wav,The sound of a finger rubbing on Cushion at a slow speed.
Cushion\8.jpg,Cushion\Cushion_nail_fast.wav,The sound of a nail rubbing on Cushion at a fast speed.
Cushion\11.jpg,Cushion\Cushion_nail_middle.wav,The sound of a nail rubbing on Cushion at a medium speed.
Cushion\3.jpg,Cushion\Cushion_nail_slow.wav,The sound of a nail rubbing on Cushion at a slow speed.
Cushion\4.jpg,Cushion\Cushion_stick_fast.wav,The sound of a plastic stick rubbing on Cushion at a fast speed.
Cushion\6.jpg,Cushion\Cushion_stick_middle.wav,The sound of a plastic stick rubbing on Cushion at a medium speed.
Cushion\18.jpg,Cushion\Cushion_stick_slow.wav,The sound of a plastic stick rubbing on Cushion at a slow speed.
CushionCover\13.jpg,CushionCover\CushionCover_finger_fast.wav,The sound of a finger rubbing on CushionCover at a fast speed.
CushionCover\17.jpg,CushionCover\CushionCover_finger_middle.wav,The sound of a finger rubbing on CushionCover at a medium speed.
CushionCover\5.jpg,CushionCover\CushionCover_finger_slow.wav,The sound of a finger rubbing on CushionCover at a slow speed.
CushionCover\14.jpg,CushionCover\CushionCover_nail_fast.wav,The sound of a nail rubbing on CushionCover at a fast speed.
CushionCover\7.jpg,CushionCover\CushionCover_nail_middle.wav,The sound of a nail rubbing on CushionCover at a medium speed.
CushionCover\15.jpg,CushionCover\CushionCover_nail_slow.wav,The sound of a nail rubbing on CushionCover at a slow speed.
CushionCover\18.jpg,CushionCover\CushionCover_stick_fast.wav,The sound of a plastic stick rubbing on CushionCover at a fast speed.
CushionCover\14.jpg,CushionCover\CushionCover_stick_middle.wav,The sound of a plastic stick rubbing on CushionCover at a medium speed.
CushionCover\13.jpg,CushionCover\CushionCover_stick_slow.wav,The sound of a plastic stick rubbing on CushionCover at a slow speed.
EVABoard\16.jpg,EVABoard\EvaBoard_finger_fast.wav,The sound of a finger rubbing on EVABoard at a fast speed.
EVABoard\8.jpg,EVABoard\EvaBoard_finger_middle.wav,The sound of a finger rubbing on EVABoard at a medium speed.
EVABoard\8.jpg,EVABoard\EvaBoard_finger_slow.wav,The sound of a finger rubbing on EVABoard at a slow speed.
EVABoard\8.jpg,EVABoard\EvaBoard_nail_fast.wav,The sound of a nail rubbing on EVABoard at a fast speed.
EVABoard\8.jpg,EVABoard\EvaBoard_nail_middle.wav,The sound of a nail rubbing on EVABoard at a medium speed.
EVABoard\9.jpg,EVABoard\EvaBoard_nail_slow.wav,The sound of a nail rubbing on EVABoard at a slow speed.
EVABoard\13.jpg,EVABoard\EvaBoard_stick_fast.wav,The sound of a plastic stick rubbing on EVABoard at a fast speed.
EVABoard\5.jpg,EVABoard\EvaBoard_stick_middle.wav,The sound of a plastic stick rubbing on EVABoard at a medium speed.
EVABoard\1.jpg,EVABoard\EvaBoard_stick_slow.wav,The sound of a plastic stick rubbing on EVABoard at a slow speed.
HammertoneAluminum\10.jpg,HammertoneAluminum\HammertoneAluminum_finger_concave__fast.wav,The sound of a finger rubbing on HammertoneAluminum at a fast speed on the concave surface.
