image_file,audio_file,final_prompt
SteelPlate\17.jpg,SteelPlate\SteelPlate_unflat_finger_slow.wav,The sound of a finger rubbing on SteelPlate at a slow speed.
SteelPlate\6.jpg,SteelPlate\SteelPlate_unflat_nail_fast.wav,The sound of a nail rubbing on SteelPlate at a fast speed.
SteelPlate\8.jpg,SteelPlate\SteelPlate_unflat_nail_middle.wav,The sound of a nail rubbing on SteelPlate at a medium speed.
SteelPlate\4.jpg,SteelPlate\SteelPlate_unflat_nail_slow.wav,The sound of a nail rubbing on SteelPlate at a slow speed.
SteelPlate\8.jpg,SteelPlate\SteelPlate_unflat_stick_fast.wav,The sound of a plastic stick rubbing on SteelPlate at a fast speed.
SteelPlate\11.jpg,SteelPlate\SteelPlate_unflat_stick_middle.wav,The sound of a plastic stick rubbing on SteelPlate at a medium speed.
SteelPlate\7.jpg,SteelPlate\SteelPlate_unflat_stick_slow.wav,The sound of a plastic stick rubbing on SteelPlate at a slow speed.
Stone1\1.jpg,Stone1\Stone1_finger_fast.wav,The sound of a finger rubbing on Stone at a fast speed.
Stone1\15.jpg,Stone1\Stone1_finger_middle.wav,The sound of a finger rubbing on Stone at a medium speed.
Stone1\5.jpg,Stone1\Stone1_finger_slow.wav,The sound of a finger rubbing on Stone at a slow speed.
Stone1\17.jpg,Stone1\Stone1_nail_fast.wav,The sound of a nail rubbing on Stone at a fast speed.
Stone1\2.jpg,Stone1\Stone1_nail_middle.wav,The sound of a nail rubbing on Stone at a medium speed.
Stone1\15.jpg,Stone1\Stone1_nail_slow.wav,The sound of a nail rubbing on Stone at a slow speed.
Stone1\3.jpg,Stone1\Stone1_stick_fast.wav,The sound of a plastic stick rubbing on Stone at a fast speed.
Stone1\14.jpg,Stone1\Stone1_stick_middle.wav,The sound of a plastic stick rubbing on Stone at a medium speed.
Stone1\10.jpg,Stone1\Stone1_stick_slow.wav,The sound of a plastic stick rubbing on Stone at a slow speed.
Stone2\9.jpg,Stone2\Stone2_finger_fast.wav,The sound of a finger rubbing on Stone at a fast speed.
Stone2\11.jpg,Stone2\Stone2_finger_middle.wav,The sound of a finger rubbing on Stone at a medium speed.
Stone2\3.jpg,Stone2\Stone2_finger_slow.wav,The sound of a finger rubbing on Stone at a slow speed.
Stone2\19.jpg,Stone2\Stone2_nail_fast.wav,The sound of a nail rubbing on Stone at a fast speed.
Stone2\10.jpg,Stone2\Stone2_nail_middle.wav,The sound of a nail rubbing on Stone at a medium speed.
Stone2\19.jpg,Stone2\Stone2_nail_slow.wav,The sound of a nail rubbing on Stone at a slow speed.
Stone2\18.jpg,Stone2\Stone2_stick_fast.wav,The sound of a plastic stick rubbing on Stone at a fast speed.
Stone2\12.jpg,Stone2\Stone2_stick_middle.wav,The sound of a plastic stick rubbing on Stone at a medium speed.
Stone2\11.jpg,Stone2\Stone2_stick_slow.wav,The sound of a plastic stick rubbing on Stone at a slow speed.
StoneTextureSheet\6.jpg,StoneTextureSheet\StoneTextureSheet_finger_fast.wav,The sound of a finger rubbing on StoneTextureSheet at a fast speed.
StoneTextureSheet\11.jpg,StoneTextureSheet\StoneTextureSheet_finger_middle.wav,The sound of a finger rubbing on StoneTextureSheet at a medium speed.
StoneTextureSheet\2.jpg,StoneTextureSheet\StoneTextureSheet_finger_slow.wav,The sound of a finger rubbing on StoneTextureSheet at a slow speed.
StoneTextureSheet\20.jpg,StoneTextureSheet\StoneTextureSheet_nail_fast.wav,The sound of a nail rubbing on StoneTextureSheet at a fast speed.
StoneTextureSheet\4.jpg,StoneTextureSheet\StoneTextureSheet_nail_middle.wav,The sound of a nail rubbing on StoneTextureSheet at a medium speed.
StoneTextureSheet\8.jpg,StoneTextureSheet\StoneTextureSheet_nail_slow.wav,The sound of a nail rubbing on StoneTextureSheet at a slow speed.
StoneTextureSheet\9.jpg,StoneTextureSheet\StoneTextureSheet_stick_fast.wav,The sound of a plastic stick rubbing on StoneTextureSheet at a fast speed.
StoneTextureSheet\8.jpg,StoneTextureSheet\StoneTextureSheet_stick_middle.wav,The sound of a plastic stick rubbing on StoneTextureSheet at a medium speed.
StoneTextureSheet\16.jpg,StoneTextureSheet\StoneTextureSheet_stick_slow.wav,The sound of a plastic stick rubbing on StoneTextureSheet at a slow speed.
Throw\13.jpg,Throw\Throw_finger_fast.wav,The sound of a finger rubbing on Throw at a fast speed.
Throw\6.jpg,Throw\Throw_finger_middle.wav,The sound of a finger rubbing on Throw at a medium speed.
Throw\4.jpg,Throw\Throw_finger_slow.wav,The sound of a finger rubbing on Throw at a slow speed.
Throw\18.jpg,Throw\Throw_nail_fast.wav,The sound of a nail rubbing on Throw at a fast speed.
Throw\11.jpg,Throw\Throw_nail_middle.wav,The sound of a nail rubbing on Throw at a medium speed.
Throw\19.jpg,Throw\Throw_nail_slow.wav,The sound of a nail rubbing on Throw at a slow speed.
Throw\17.jpg,Throw\Throw_stick_fast.wav,The sound of a plastic stick rubbing on Throw at a fast speed.
Throw\20.jpg,Throw\Throw_stick_middle.wav,The sound of a plastic stick rubbing on Throw at a medium speed.
Throw\3.jpg,Throw\Throw_stick_slow.wav,The sound of a plastic stick rubbing on Throw at a slow speed.
Towel1\4.jpg,Towel1\Towel1_finger_fast.wav,The sound of a finger rubbing on Towel at a fast speed.
Towel1\13.jpg,Towel1\Towel1_finger_middle.wav,The sound of a finger rubbing on Towel at a medium speed.
Towel1\16.jpg,Towel1\Towel1_finger_slow.wav,The sound of a finger rubbing on Towel at a slow speed.
Towel1\15.jpg,Towel1\Towel1_nail_fast.wav,The sound of a nail rubbing on Towel at a fast speed.
Towel1\8.jpg,Towel1\Towel1_nail_middle.wav,The sound of a nail rubbing on Towel at a medium speed.
Towel1\17.jpg,Towel1\Towel1_nail_slow.wav,The sound of a nail rubbing on Towel at a slow speed.
Towel1\20.jpg,Towel1\Towel1_stick_fast.wav,The sound of a plastic stick rubbing on Towel at a fast speed.
Towel1\9.jpg,Towel1\Towel1_stick_middle.wav,The sound of a plastic stick rubbing on Towel at a medium speed.
Towel1\20.jpg,Towel1\Towel1_stick_slow.wav,The sound of a plastic stick rubbing on Towel at a slow speed.
Towel2\12.jpg,Towel2\Towel2_finger_fast.wav,The sound of a finger rubbing on Towel at a fast speed.
Towel2\7.jpg,Towel2\Towel2_finger_middle.wav,The sound of a finger rubbing on Towel at a medium speed.
Towel2\13.jpg,Towel2\Towel2_finger_slow.wav,The sound of a finger rubbing on Towel at a slow speed.
Towel2\5.jpg,Towel2\Towel2_nail_fast.wav,The sound of a nail rubbing on Towel at a fast speed.
Towel2\5.jpg,Towel2\Towel2_nail_middle.wav,The sound of a nail rubbing on Towel at a medium speed.
Towel2\5.jpg,Towel2\Towel2_nail_slow.wav,The sound of a nail rubbing on Towel at a slow speed.
Towel2\15.jpg,Towel2\Towel2_stick_fast.wav,The sound of a plastic stick rubbing on Towel at a fast speed.
Towel2\6.jpg,Towel2\Towel2_stick_middle.wav,The sound of a plastic stick rubbing on Towel at a medium speed.
Towel2\4.jpg,Towel2\Towel2_stick_slow.wav,The sound of a plastic stick rubbing on Towel at a slow speed.
Wallpaper1\14.jpg,Wallpaper1\Wallpaper1_finger_fast.wav,The sound of a finger rubbing on Wallpaper at a fast speed.
Wallpaper1\7.jpg,Wallpaper1\Wallpaper1_finger_middle.wav,The sound of a finger rubbing on Wallpaper at a medium speed.
Wallpaper1\9.jpg,Wallpaper1\Wallpaper1_finger_slow.wav,The sound of a finger rubbing on Wallpaper at a slow speed.
Wallpaper1\10.jpg,Wallpaper1\Wallpaper1_nail_fast.wav,The sound of a nail rubbing on Wallpaper at a fast speed.
Wallpaper1\9.jpg,Wallpaper1\Wallpaper1_nail_middle.wav,The sound of a nail rubbing on Wallpaper at a medium speed.
Wallpaper1\12.jpg,Wallpaper1\Wallpaper1_nail_slow.wav,The sound of a nail rubbing on Wallpaper at a slow speed.
Wallpaper1\9.jpg,Wallpaper1\Wallpaper1_stick_fast.wav,The sound of a plastic stick rubbing on Wallpaper at a fast speed.
Wallpaper1\7.jpg,Wallpaper1\Wallpaper1_stick_middle.wav,The sound of a plastic stick rubbing on Wallpaper at a medium speed.
Wallpaper1\10.jpg,Wallpaper1\Wallpaper1_stick_slow.wav,The sound of a plastic stick rubbing on Wallpaper at a slow speed.
Wallpaper2\4.jpg,Wallpaper2\Wallpaper2_finger_fast.wav,The sound of a finger rubbing on Wallpaper at a fast speed.
Wallpaper2\4.jpg,Wallpaper2\Wallpaper2_finger_middle.wav,The sound of a finger rubbing on Wallpaper at a medium speed.
Wallpaper2\6.jpg,Wallpaper2\Wallpaper2_finger_slow.wav,The sound of a finger rubbing on Wallpaper at a slow speed.
Wallpaper2\4.jpg,Wallpaper2\Wallpaper2_nail_fast.wav,The sound of a nail rubbing on Wallpaper at a fast speed.
Wallpaper2\20.jpg,Wallpaper2\Wallpaper2_nail_middle.wav,The sound of a nail rubbing on Wallpaper at a medium speed.
Wallpaper2\4.jpg,Wallpaper2\Wallpaper2_nail_slow.wav,The sound of a nail rubbing on Wallpaper at a slow speed.
Wallpaper2\7.jpg,Wallpaper2\Wallpaper2_stick_fast.wav,The sound of a plastic stick rubbing on Wallpaper at a fast speed.
Wallpaper2\19.jpg,Wallpaper2\Wallpaper2_stick_middle.wav,The sound of a plastic stick rubbing on Wallpaper at a medium speed.
Wallpaper2\16.jpg,Wallpaper2\Wallpaper2_stick_slow.wav,The sound of a plastic stick rubbing on Wallpaper at a slow speed.
Wipe\9.jpg,Wipe\Wipe_finger_fast.wav,The sound of a finger rubbing on Wipe at a fast speed.
Wipe\3.jpg,Wipe\Wipe_finger_middle.wav,The sound of a finger rubbing on Wipe at a medium speed.
Wipe\4.jpg,Wipe\Wipe_finger_slow.wav,The sound of a finger rubbing on Wipe at a slow speed.
Wipe\3.jpg,Wipe\Wipe_nail_fast.wav,The sound of a nail rubbing on Wipe at a fast speed.
Wipe\16.jpg,Wipe\Wipe_nail_middle.wav,The sound of a nail rubbing on Wipe at a medium speed.
Wipe\20.jpg,Wipe\Wipe_nail_slow.wav,The sound of a nail rubbing on Wipe at a slow speed.
Wipe\3.jpg,Wipe\Wipe_stick_fast.wav,The sound of a plastic stick rubbing on Wipe at a fast speed.
Wipe\18.jpg,Wipe\Wipe_stick_middle.wav,The sound of a plastic stick rubbing on Wipe at a medium speed.
Wipe\8.jpg,Wipe\Wipe_stick_slow.wav,The sound of a plastic stick rubbing on Wipe at a slow speed.
Wood1\10.jpg,Wood1\Wood1_finger_paral_fast.wav,The sound of a finger rubbing on Wood at a fast speed parallel to the grain.
Wood1\5.jpg,Wood1\Wood1_finger_paral_middle.wav,The sound of a finger rubbing on Wood at a medium speed parallel to the grain.
Wood1\19.jpg,Wood1\Wood1_finger_paral_slow.wav,The sound of a finger rubbing on Wood at a slow speed parallel to the grain.
Wood1\17.jpg,Wood1\Wood1_finger_verti_fast.wav,The sound of a finger rubbing on Wood at a fast speed perpendicular to the grain.
Wood1\6.jpg,Wood1\Wood1_finger_verti_middle.wav,The sound of a finger rubbing on Wood at a medium speed perpendicular to the grain.
Wood1\14.jpg,Wood1\Wood1_finger_verti_slow.wav,The sound of a finger rubbing on Wood at a slow speed perpendicular to the grain.
Wood1\16.jpg,Wood1\Wood1_nail_paral_fast.wav,The sound of a nail rubbing on Wood at a fast speed parallel to the grain.
Wood1\18.jpg,Wood1\Wood1_nail_paral_middle.wav,The sound of a nail rubbing on Wood at a medium speed parallel to the grain.
Wood1\14.jpg,Wood1\Wood1_nail_paral_slow.wav,The sound of a nail rubbing on Wood at a slow speed parallel to the grain.
Wood1\14.jpg,Wood1\Wood1_nail_verti_fast.wav,The sound of a nail rubbing on Wood at a fast speed perpendicular to the grain.
Wood1\12.jpg,Wood1\Wood1_nail_verti_middle.wav,The sound of a nail rubbing on Wood at a medium speed perpendicular to the grain.
Wood1\15.jpg,Wood1\Wood1_nail_verti_slow.wav,The sound of a nail rubbing on Wood at a slow speed perpendicular to the grain.
Wood1\20.jpg,Wood1\Wood1_stick_paral_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed parallel to the grain.
Wood1\2.jpg,Wood1\Wood1_stick_paral_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed parallel to the grain.
Wood1\10.jpg,Wood1\Wood1_stick_paral_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed parallel to the grain.
Wood1\13.jpg,Wood1\Wood1_stick_verti_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed perpendicular to the grain.
Wood1\8.jpg,Wood1\Wood1_stick_verti_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed perpendicular to the grain.
Wood1\7.jpg,Wood1\Wood1_stick_verti_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed perpendicular to the grain.
Wood2\8.jpg,Wood2\Wood2_finger_paral_fast.wav,The sound of a finger rubbing on Wood at a fast speed parallel to the grain.
Wood2\12.jpg,Wood2\Wood2_finger_paral_middle.wav,The sound of a finger rubbing on Wood at a medium speed parallel to the grain.
Wood2\9.jpg,Wood2\Wood2_finger_paral_slow.wav,The sound of a finger rubbing on Wood at a slow speed parallel to the grain.
Wood2\16.jpg,Wood2\Wood2_finger_verti_fast.wav,The sound of a finger rubbing on Wood at a fast speed perpendicular to the grain.
Wood2\16.jpg,Wood2\Wood2_finger_verti_middle.wav,The sound of a finger rubbing on Wood at a medium speed perpendicular to the grain.
Wood2\19.jpg,Wood2\Wood2_finger_verti_slow.wav,The sound of a finger rubbing on Wood at a slow speed perpendicular to the grain.
Wood2\15.jpg,Wood2\Wood2_nail_paral_fast.wav,The sound of a nail rubbing on Wood at a fast speed parallel to the grain.
Wood2\15.jpg,Wood2\Wood2_nail_paral_middle.wav,The sound of a nail rubbing on Wood at a medium speed parallel to the grain.
Wood2\6.jpg,Wood2\Wood2_nail_paral_slow.wav,The sound of a nail rubbing on Wood at a slow speed parallel to the grain.
Wood2\15.jpg,Wood2\Wood2_nail_verti_fast.wav,The sound of a nail rubbing on Wood at a fast speed perpendicular to the grain.
Wood2\15.jpg,Wood2\Wood2_nail_verti_middle.wav,The sound of a nail rubbing on Wood at a medium speed perpendicular to the grain.
Wood2\12.jpg,Wood2\Wood2_nail_verti_slow.wav,The sound of a nail rubbing on Wood at a slow speed perpendicular to the grain.
Wood2\8.jpg,Wood2\Wood2_stick_paral_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed parallel to the grain.
Wood2\18.jpg,Wood2\Wood2_stick_paral_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed parallel to the grain.
Wood2\13.jpg,Wood2\Wood2_stick_paral_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed parallel to the grain.
Wood2\10.jpg,Wood2\Wood2_stick_verti_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed perpendicular to the grain.
Wood2\7.jpg,Wood2\Wood2_stick_verti_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed perpendicular to the grain.
Wood2\6.jpg,Wood2\Wood2_stick_verti_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed perpendicular to the grain.
Wood3\4.jpg,Wood3\Wood3_finger_paral_fast.wav,The sound of a finger rubbing on Wood at a fast speed parallel to the grain.
Wood3\17.jpg,Wood3\Wood3_finger_paral_middle.wav,The sound of a finger rubbing on Wood at a medium speed parallel to the grain.
Wood3\9.jpg,Wood3\Wood3_finger_paral_slow.wav,The sound of a finger rubbing on Wood at a slow speed parallel to the grain.
Wood3\19.jpg,Wood3\Wood3_finger_verti_fast.wav,The sound of a finger rubbing on Wood at a fast speed perpendicular to the grain.
Wood3\12.jpg,Wood3\Wood3_finger_verti_middle.wav,The sound of a finger rubbing on Wood at a medium speed perpendicular to the grain.
Wood3\8.jpg,Wood3\Wood3_finger_verti_slow.wav,The sound of a finger rubbing on Wood at a slow speed perpendicular to the grain.
Wood3\5.jpg,Wood3\Wood3_nail_paral_fast.wav,The sound of a nail rubbing on Wood at a fast speed parallel to the grain.
Wood3\2.jpg,Wood3\Wood3_nail_paral_middle.wav,The sound of a nail rubbing on Wood at a medium speed parallel to the grain.
Wood3\5.jpg,Wood3\Wood3_nail_paral_slow.wav,The sound of a nail rubbing on Wood at a slow speed parallel to the grain.
Wood3\17.jpg,Wood3\Wood3_nail_verti_fast.wav,The sound of a nail rubbing on Wood at a fast speed perpendicular to the grain.
Wood3\13.jpg,Wood3\Wood3_nail_verti_middle.wav,The sound of a nail rubbing on Wood at a medium speed perpendicular to the grain.
Wood3\18.jpg,Wood3\Wood3_nail_verti_slow.wav,The sound of a nail rubbing on Wood at a slow speed perpendicular to the grain.
Wood3\15.jpg,Wood3\Wood3_stick_paral_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed parallel to the grain.
Wood3\15.jpg,Wood3\Wood3_stick_paral_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed parallel to the grain.
Wood3\4.jpg,Wood3\Wood3_stick_paral_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed parallel to the grain.
Wood3\5.jpg,Wood3\Wood3_stick_verti_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed perpendicular to the grain.
Wood3\6.jpg,Wood3\Wood3_stick_verti_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed perpendicular to the grain.
Wood3\15.jpg,Wood3\Wood3_stick_verti_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed perpendicular to the grain.
Wood4\4.jpg,Wood4\Wood4finger_verti_slow.wav,The sound of a unknown object rubbing on Wood at a slow speed perpendicular to the grain.
Wood4\10.jpg,Wood4\Wood4_finger_paral_fast.wav,The sound of a finger rubbing on Wood at a fast speed parallel to the grain.
Wood4\3.jpg,Wood4\Wood4_finger_paral_middle.wav,The sound of a finger rubbing on Wood at a medium speed parallel to the grain.
Wood4\15.jpg,Wood4\Wood4_finger_paral_slow.wav,The sound of a finger rubbing on Wood at a slow speed parallel to the grain.
Wood4\18.jpg,Wood4\Wood4_finger_verti_fast.wav,The sound of a finger rubbing on Wood at a fast speed perpendicular to the grain.
Wood4\3.jpg,Wood4\Wood4_finger_verti_middle.wav,The sound of a finger rubbing on Wood at a medium speed perpendicular to the grain.
Wood4\15.jpg,Wood4\Wood4_nail_paral_fast.wav,The sound of a nail rubbing on Wood at a fast speed parallel to the grain.
Wood4\13.jpg,Wood4\Wood4_nail_paral_middle.wav,The sound of a nail rubbing on Wood at a medium speed parallel to the grain.
Wood4\15.jpg,Wood4\Wood4_nail_paral_slow.wav,The sound of a nail rubbing on Wood at a slow speed parallel to the grain.
Wood4\17.jpg,Wood4\Wood4_nail_verti_fast.wav,The sound of a nail rubbing on Wood at a fast speed perpendicular to the grain.
Wood4\9.jpg,Wood4\Wood4_nail_verti_middle.wav,The sound of a nail rubbing on Wood at a medium speed perpendicular to the grain.
Wood4\2.jpg,Wood4\Wood4_nail_verti_slow.wav,The sound of a nail rubbing on Wood at a slow speed perpendicular to the grain.
Wood4\2.jpg,Wood4\Wood4_stick_paral_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed parallel to the grain.
Wood4\18.jpg,Wood4\Wood4_stick_paral_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed parallel to the grain.
Wood4\12.jpg,Wood4\Wood4_stick_paral_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed parallel to the grain.
Wood4\16.jpg,Wood4\Wood4_stick_verti_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed perpendicular to the grain.
Wood4\13.jpg,Wood4\Wood4_stick_verti_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed perpendicular to the grain.
Wood4\20.jpg,Wood4\Wood4_stick_verti_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed perpendicular to the grain.
